problem_id,condition,sentence_num,category,valence,which_option,token_start,token_end,n_tokens,cue_p,proj_agency,proj_anxiety,proj_confidence,proj_confusion,proj_curiosity,proj_guilt,proj_obedience,proj_rationalization,proj_deception,proj_concealment
26,B,1,setup,,,22,54,32,0.12,2.424789823591709,4.9986493699252605,1.0035881344228983,-0.5731834694743156,10.048813059926033,6.418330192565918,1.7739474978297949,-10.211434103548527,11.291917249560356,0.8724274709820747
26,B,2,setup,,,54,70,16,0.1,3.947766926139593,-1.476112563163042,-2.9763231426477432,3.1882593035697937,12.225231878459454,4.711838707327843,6.241341978311539,-11.701414078474045,7.300159707665443,0.8908717781305313
26,B,3,setup,,,71,83,12,0.02,4.568143924077352,3.248169591029485,1.1079520086447399,-2.375383198261261,9.301655193169912,6.634179035822551,2.666382302840551,-14.088005542755127,10.335241039594015,0.11634781459967296
26,B,4,recall,,,83,109,26,0.08,-4.2289827053363505,6.839743261153881,4.298439750304589,-2.567356962424058,8.5797048165248,5.645006775856018,-3.529511061998514,4.161033395391244,11.556875100502602,2.8876373252043357
26,B,5,evaluate,neutral,A,109,131,22,0.06,-3.5768324434757233,2.83904243870215,-1.8761309723962436,-3.949631230397658,8.949080857363613,3.9564464498649943,-3.1782218353314833,-6.844361955469305,10.820062908259304,2.5865747847340326
26,B,6,evaluate,mild-,A,131,158,27,0.06,-5.2984699187455355,2.0174518635979406,-8.652897229901066,-1.8983842178627297,14.502070250334564,3.236104115291878,-1.5894158637082134,-6.246437620233606,9.69074848846153,4.227799459739968
26,B,7,setup,,,158,164,6,0.08,1.8203850785891216,4.880661447842916,-1.8650609850883484,0.3562248845895131,7.71348508199056,11.10236930847168,7.13305926322937,-8.9636123975118,6.636669317881267,1.2481016616026561
26,B,8,reframe,,,164,189,25,0.36,2.747727384567261,-0.33552146911621095,0.4228969430923462,-8.370612790584564,5.079524278640747,2.5260491371154785,-1.8280852794647218,-8.415353841781616,3.598298273086548,-0.7377472686767578
26,B,9,evaluate,mild+,B,189,211,22,0.54,-2.6796623034910723,-0.4808560447259383,-3.0967573415149343,-7.7772816527973525,3.9961129318584097,-0.6292326260696758,-1.9522261998870156,-5.509699411012909,3.0791955319317905,1.2618754309686748
26,B,10,evaluate,mild-,B,211,234,23,0.66,-8.306961432747219,3.8288029276806377,-11.352681253267372,-2.5118853294331096,6.261677970056948,6.454850673675537,-1.1882688480874766,1.9166675132253896,8.619647616925446,4.3000026837639185
26,B,11,setup,,,234,243,9,0.6,2.819313314225939,3.5851820906003318,-1.1308458248774211,-0.36276549763149685,10.265039761861166,6.601495981216431,2.0633213851186962,-5.826787392298381,15.801633305019802,1.0454974903000727
